variant,split,IMG_ID,threshold_mode,contextual_apply_to,artery_method,dice_artery,artery_voxels,ostia_success,ostia_found,ostia_status,both_correct,both_tolerable,left_dist_mm,right_dist_mm,segmentation_attempted,threshold_voxels,lcc_voxels,mean_contextual_weight,fc_processed_voxels,fc_effective_alpha,error
normal_threshold_fc,train,550,normal,none,fuzzy_connectedness,0.5424845573095401,11696,True,True,both_tolerable,False,True,0.0,1.6331862610496237,True,12646436,12528441,0.9997618794441223,3120.0,0.18,
normal_threshold_fc,train,631,normal,none,fuzzy_connectedness,0.7020006706158489,22747,True,True,both_tolerable,False,True,0.0,1.113000238656758,True,11110441,10876543,0.9997514486312866,5590.0,0.18,
normal_threshold_fc,train,330,normal,none,fuzzy_connectedness,0.5924976258309592,29920,True,True,both_tolerable,False,True,0.0,1.9745118129335317,True,10450446,10159836,0.9997949004173279,7478.0,0.18,
normal_threshold_fc,train,90,normal,none,fuzzy_connectedness,0.5472710136235113,20047,True,True,both_tolerable,False,True,0.66015625,0.5,True,11910696,11640398,0.9997464418411255,6193.0,0.18,
normal_threshold_fc,train,608,normal,none,fuzzy_connectedness,0.70297765778456,28987,True,True,both_tolerable,False,True,1.3680800657879093,0.5,True,8745169,8649954,0.9997642040252686,6959.0,0.18,
normal_threshold_fc,train,887,normal,none,fuzzy_connectedness,0.5511237929822385,15668,True,True,both_tolerable,False,True,0.7890625,0.0,True,11160855,10810192,0.9997871518135071,4847.0,0.18,
normal_threshold_fc,train,175,normal,none,fuzzy_connectedness,0.5923744364649646,20259,True,True,both_tolerable,False,True,0.9004562916672442,0.5,True,9988264,9789266,0.999761164188385,5083.0,0.18,
normal_threshold_fc,train,760,normal,none,fuzzy_connectedness,0.6819557977596125,30807,True,True,both_tolerable,False,True,0.0,1.0541954870895625,True,11317959,10482444,0.9997721910476685,8467.0,0.18,
normal_threshold_fc,train,696,normal,none,fuzzy_connectedness,0.6633392106333921,16782,True,True,both_tolerable,False,True,0.0,1.739843048383334,True,8565969,8325140,0.9998175501823425,4221.0,0.18,
normal_threshold_fc,train,194,normal,none,fuzzy_connectedness,0.7851837146591228,30542,True,True,both_tolerable,False,True,0.8095744354916121,1.345667690480501,True,12683474,12397124,0.9997289776802063,8432.0,0.18,
normal_threshold_fc,train,305,normal,none,fuzzy_connectedness,0.6891080131474555,26758,True,True,both_tolerable,False,True,1.8419615266408254,0.0,True,11260109,11026716,0.9997190833091736,6823.0,0.18,
normal_threshold_fc,train,344,normal,none,fuzzy_connectedness,0.731856982289863,33738,True,True,both_tolerable,False,True,2.4154905767902513,0.0,True,12321281,10908226,0.999750554561615,9381.0,0.18,
fuzzy_threshold_fc,train,28,contextual_object,none,fuzzy_connectedness,0.6565592945834083,20271,True,True,both_tolerable,False,True,1.0737001589130926,0.8375058302035873,True,11166560,10822529,0.9997652769088745,5512.0,0.18,
fuzzy_threshold_fc,train,380,contextual_object,none,fuzzy_connectedness,0.5838377402569821,30441,True,True,both_tolerable,False,True,2.3495403733114086,1.739843048383334,True,7808545,7677124,0.9997559785842896,8021.0,0.18,
fuzzy_threshold_fc,train,854,contextual_object,none,fuzzy_connectedness,0.6350017231243285,24953,True,True,both_tolerable,False,True,1.2734375,0.63671875,True,10720093,10481750,0.9997885823249817,6003.0,0.18,
fuzzy_threshold_fc,train,937,contextual_object,none,fuzzy_connectedness,0.6486907140603638,23522,True,True,both_tolerable,False,True,1.390625,2.160392872438078,True,11863579,11576420,0.9997589588165283,5741.0,0.18,
fuzzy_threshold_fc,train,315,contextual_object,none,fuzzy_connectedness,0.6432700977705487,27346,True,True,both_tolerable,False,True,0.0,0.5,True,12623038,12475235,0.9997662901878357,6249.0,0.18,
fuzzy_threshold_fc,train,428,contextual_object,none,fuzzy_connectedness,0.6354814824437198,32939,True,True,both_tolerable,False,True,0.0,1.2202077119702048,True,12651114,12514931,0.9997718334197998,9738.0,0.18,
fuzzy_threshold_fc,train,752,contextual_object,none,fuzzy_connectedness,0.5394816970025036,24897,False,True,found_but_wrong,False,False,14.23387813433725,1.345667690480501,True,8650225,7894639,0.999847412109375,6387.0,0.18,
fuzzy_threshold_fc,train,13,contextual_object,none,fuzzy_connectedness,0.5459715639810426,21191,True,True,both_tolerable,False,True,2.0859375,1.1031404921008474,True,12372849,12179331,0.9997400045394897,5696.0,0.18,
fuzzy_threshold_fc,train,538,contextual_object,none,fuzzy_connectedness,0.44145372277170286,9763,True,True,both_tolerable,False,True,0.0,0.8095744354916121,True,12532653,12114218,0.9997305870056152,2906.0,0.18,
fuzzy_threshold_fc,train,965,contextual_object,none,fuzzy_connectedness,0.4684220849269393,13125,True,True,both_tolerable,False,True,1.4820293967437015,5.215854595380919,True,12628468,12505877,0.9997977018356323,3497.0,0.18,
fuzzy_threshold_fc,train,447,contextual_object,none,fuzzy_connectedness,0.47853380019557745,10794,False,True,found_but_wrong,False,False,0.0,11.388690465010123,True,11714187,11546552,0.9997526407241821,2912.0,0.18,
fuzzy_threshold_fc,train,836,contextual_object,none,fuzzy_connectedness,0.7180410230037384,23369,True,True,both_tolerable,False,True,0.9004562916672442,0.5,True,10909842,10360288,0.9997773766517639,6616.0,0.18,
fuzzy_threshold_fc,train,603,contextual_object,none,fuzzy_connectedness,0.4455701953657428,13059,False,True,found_but_wrong,False,False,0.0,7.171684578422479,True,8533077,8297623,0.9997372031211853,3797.0,0.18,
fuzzy_threshold_fc,train,676,contextual_object,none,fuzzy_connectedness,0.4360142874738268,7078,True,True,both_tolerable,False,True,1.1576348337032387,0.8916609243998318,True,13159198,13006436,0.9997195601463318,2009.0,0.18,
fuzzy_threshold_fc,train,44,contextual_object,none,fuzzy_connectedness,0.6748322029316,41042,True,True,both_tolerable,False,True,0.58984375,0.0,True,7842157,7657360,0.9998665452003479,11181.0,0.18,
fuzzy_threshold_fc,train,129,contextual_object,none,fuzzy_connectedness,0.7080968031072602,26909,True,True,both_tolerable,False,True,2.23828125,0.5,True,11855893,11678784,0.999755322933197,7829.0,0.18,
fuzzy_threshold_fc,train,518,contextual_object,none,fuzzy_connectedness,0.6814310051107325,24366,True,True,both_tolerable,False,True,0.69140625,0.8532541254157887,True,11204670,10978823,0.9997923970222473,6133.0,0.18,
fuzzy_threshold_fc,train,793,contextual_object,none,fuzzy_connectedness,0.7264929911028611,16324,True,True,both_tolerable,False,True,0.8437861682062879,2.7741306352170945,True,9434473,9275707,0.9997380971908569,3996.0,0.18,
fuzzy_threshold_fc,train,550,contextual_object,none,fuzzy_connectedness,0.5429328561104036,11613,True,True,both_tolerable,False,True,0.0,1.6331862610496237,True,12685653,12575844,0.9997618794441223,3081.0,0.18,
fuzzy_threshold_fc,train,631,contextual_object,none,fuzzy_connectedness,0.7024996646246031,22738,True,True,both_tolerable,False,True,0.0,1.113000238656758,True,11142810,10920683,0.9997514486312866,5596.0,0.18,
